Date,TWII
2017/10/26,10734.75977
2017/10/27,10709.11035
2017/10/30,10756.87012
2017/10/31,10793.7998
2017/11/1,10806.36035
2017/11/2,10788.50977
2017/11/3,10800.76953
2017/11/6,10786.19043
2017/11/7,10840.33984
2017/11/8,10818.99023
2017/11/9,10743.26953
2017/11/10,10732.66992
2017/11/13,10683.91992
2017/11/14,10687.17969
2017/11/15,10630.65039
2017/11/16,10625.04004
2017/11/17,10701.63965
2017/11/20,10664.5498
2017/11/21,10779.24023
2017/11/22,10822.58984
2017/11/23,10854.57031
2017/11/24,10854.08984
2017/11/27,10750.92969
2017/11/28,10707.07031
2017/11/29,10713.5498
2017/11/30,10560.44043
2017/12/1,10600.37012
2017/12/4,10651.11035
2017/12/5,10566.84961
2017/12/6,10393.91992
2017/12/7,10355.75977
2017/12/8,10398.62012
2017/12/11,10473.08984
2017/12/12,10443.28027
2017/12/13,10470.7002
2017/12/14,10538.00977
2017/12/15,10491.44043
2017/12/18,10506.51953
2017/12/19,10467.33984
2017/12/20,10504.51953
2017/12/21,10488.96973
2017/12/22,10537.26953
2017/12/25,10522.49023
2017/12/26,10421.91016
2017/12/27,10486.66992
2017/12/28,10567.63965
2017/12/29,10642.86035
2018/1/2,10710.73047
2018/1/3,10801.57031
2018/1/4,10848.62988
2018/1/5,10879.7998
2018/1/8,10915.75
2018/1/9,10914.88965
2018/1/10,10831.08984
2018/1/11,10810.05957
2018/1/12,10883.95996
2018/1/15,10956.30957
2018/1/16,10986.11035
2018/1/17,11004.7998
2018/1/18,11071.57031
2018/1/19,11150.84961
2018/1/22,11231.45996
2018/1/23,11253.11035
2018/1/24,11152.16016
2018/1/25,11165.9502
2018/1/26,11147.09961
2018/1/29,11221.80957
2018/1/30,11076.78027
2018/1/31,11103.79004
2018/2/1,11160.25
2018/2/2,11126.23047
2018/2/5,10946.25
2018/2/6,10404
2018/2/7,10551.54004
2018/2/8,10528.51953
2018/2/9,10371.75
2018/2/12,10421.08984
2018/2/21,10714.44043
2018/2/22,10662.37988
2018/2/23,10794.5498
2018/2/26,10836.7002
2018/2/27,10815.46973
2018/3/1,10785.79004
2018/3/2,10698.16992
2018/3/5,10642.90039
2018/3/6,10784.33984
2018/3/7,10745.32031
2018/3/8,10823.24023
2018/3/9,10864.82031
2018/3/12,11002.09961
2018/3/13,11095.62988
2018/3/14,11038.7998
2018/3/15,11018.4502
2018/3/16,11027.7002
2018/3/19,11046.90039
2018/3/20,11010.83984
2018/3/21,11011.07031
2018/3/22,11005.83984
2018/3/23,10823.33008
2018/3/26,10840.0498
2018/3/27,10986.79004
2018/3/28,10865.66016
2018/3/29,10845.91992
2018/3/30,10906.21973
2018/4/2,10888.26953
