,日期,當日沖銷交易總成交股數,當日沖銷交易總成交股數占市場比重%,當日沖銷交易總買進成交金額,當日沖銷交易總買進成交金額占市場比重%,當日沖銷交易總賣出成交金額,當日沖銷交易總賣出成交金額占市場比重%
13,108/01/21,423480000,10.81,23967028680,25.52,23996069700,25.55
14,108/01/22,380600000,11.75,21263779490,26.91,21271128300,26.92
15,108/01/23,321911000,11.35,17147376280,25.38,17166564750,25.41
16,108/01/24,423497000,13.2,23721094040,27.56,23743171520,27.59
17,108/01/25,488786000,11.12,27235745620,23.93,27289745980,23.98
18,108/01/28,425394000,10.98,24765321630,25.89,24801953590,25.93
19,108/01/29,405030000,11.98,22594617000,25.01,22622614700,25.04
20,108/01/30,416063000,12.61,23767646980,23.02,23793701020,23.05
0,108/02/11,473824000,10.28,25669655060,19.04,25747198350,19.1
1,108/02/12,536825000,10.62,31236426320,24.96,31319503230,25.03
2,108/02/13,623349000,11.86,38384113180,27.31,38489697320,27.39
3,108/02/14,504882000,10.86,27347374180,24.06,27395223930,24.11
4,108/02/15,508143000,11.16,27274211620,23.91,27300269750,23.94
5,108/02/18,478236000,11.11,26238121890,24.31,26288656420,24.35
6,108/02/19,541525500,12.86,29110702010,27.64,29191612520,27.71
7,108/02/20,566869000,11.73,35350386970,26.28,35413370570,26.33
8,108/02/21,639545000,13.09,33923322320,27.13,33985533820,27.18
9,108/02/22,583934000,13.43,32094833310,27.29,32141471970,27.33
10,108/02/25,606402000,11.75,32987520450,24.35,33071702140,24.42
11,108/02/26,635478000,12.63,38346012940,27.25,38355894480,27.25
12,108/02/27,554359000,12.24,31314099490,22.76,31393287770,22.82
0,108/03/04,551183100,11.77,30367749090,21.51,30442269075,21.56
1,108/03/05,449231000,11.52,27653936870,26.07,27674227150,26.09
2,108/03/06,506241000,13.5,27138674230,26.76,27176274890,26.8
3,108/03/07,552552000,12.93,26713528450,24.54,26721491020,24.55
4,108/03/08,583843100,13.71,28924365600,27.34,28981078555,27.39
5,108/03/11,473194000,12.69,24339151680,25.84,24373607590,25.88
6,108/03/12,509022000,12.18,28257634750,25.42,28291020280,25.45
7,108/03/13,562111000,15.03,26459463080,27.17,26492840290,27.21
8,108/03/14,581184000,14.16,32887162680,28.44,32937583340,28.49
9,108/03/15,678274000,13.33,40245847480,26.04,40335133750,26.09
10,108/03/18,587204000,13.45,30028383100,25.7,30110762570,25.78
11,108/03/19,597033000,13.38,30133596510,25.4,30172648550,25.44
